ZONEID,TIMESTAMP,TARGETVAR,U10,V10,U100,V100
8,20120101 1:00,0,-0.307548429216042,0.371262701089642,-0.625437752402649,0.298532614854128
8,20120101 2:00,0.014953951509362,0.140012947284393,0.751585418289974,0.0249572563587588,0.79749837535156
8,20120101 3:00,0.0717848695842388,0.676112677197377,1.47219688245902,0.674786212022899,1.62675777513479
8,20120101 4:00,0.0667964556496089,0.90719777960413,2.2588218081802,0.936868796058175,2.62577400430465
8,20120101 5:00,0.0347974069985965,0.739417599887349,2.90788319789275,0.720636512901641,3.50167585561264
8,20120101 6:00,0.0232350338100729,0.0142884854385734,3.45515608882492,-0.234295062190174,4.27778455482115
8,20120101 7:00,0.0233529062286114,-1.06897826856396,3.45984091512862,-1.68735336287819,4.39927187042052
8,20120101 8:00,0.00081370765556511,-1.77153010289254,3.0233002822839,-2.80644033617785,4.08307943740965
8,20120101 9:00,0.141866452206287,-2.15357309786769,2.27713522009467,-4.06590847760007,3.65461970828686
8,20120101 10:00,0.230076629713693,-2.43291160288428,1.48752904127113,-5.45783304378311,2.86386744871593
8,20120101 11:00,0.210852898055136,-2.87604606171409,0.897240927004995,-6.49144599939523,1.77590514919652
8,20120101 12:00,0.183720554835588,-3.17840453861794,0.36913323458796,-7.08749991081887,0.686858141502129
8,20120101 13:00,0.305268247589796,-3.46792495427698,-0.169621790337482,-7.50524709660296,-0.42279832151716
8,20120101 14:00,0.407470521978215,-3.57505636190616,-0.71817236117066,-7.66487407003265,-1.5818090064987
8,20120101 15:00,0.465993414924819,-3.29616054865663,-1.15982371361942,-7.2697690081393,-2.64861949660571
8,20120101 16:00,0.511984473273106,-3.02301972837892,-1.66919210082166,-6.71333881352445,-3.97955642732386
8,20120101 17:00,0.464655035512772,-2.7879504000686,-2.13213811828724,-6.03577325609416,-5.1765318984302
8,20120101 18:00,0.395303573134103,-2.4718684783858,-2.45283577344048,-4.97442369871588,-6.04755256295071
8,20120101 19:00,0.275459319913635,-1.95126296032001,-3.26118125747882,-3.32154865469211,-7.66973363865487
8,20120101 20:00,0.535223234188129,-0.944139190252269,-4.22881083584293,-0.764120761233411,-9.11348021957244
8,20120101 21:00,0.666382781873645,-0.457620938250312,-4.89235259776691,-0.0463654338970612,-9.35916662120867
8,20120101 22:00,0.647159028419153,-0.47488591716576,-5.34550306932476,-0.0735359825659447,-9.59237887883247
8,20120101 23:00,0.576104148302684,0.12009181776657,-6.06781810669515,0.481196052757102,-9.06846483031017
8,20120102 0:00,0.515756194502917,1.15289171032395,-6.33911213900939,1.82500610567232,-9.10859903278496
8,20120102 1:00,0.650565776711017,3.79947276627159,-6.33735775335999,5.32997728763138,-9.14987935759843
8,20120102 2:00,0.371091383949045,5.58350049378119,-6.72812189315194,7.87252481322118,-9.79658349706749
8,20120102 3:00,0.27679765573381,7.50332674178971,-5.8446735294881,10.348244989422,-8.91271881638585
8,20120102 4:00,0.485338876882478,8.04571008634955,-3.75087130426089,11.3024773737204,-5.66260223466674
8,20120102 5:00,0.605548146632767,6.58151827726873,-2.54559230165585,9.04019028238976,-3.94626657975132
8,20120102 6:00,0.43727947145031,5.34717053124129,-1.02186589941516,7.30630548855336,-1.67423647386829
8,20120102 7:00,0.54215843927502,5.1785371445919,0.268839895655216,7.38556583317749,0.133644220657399
8,20120102 8:00,0.335685608802107,5.25434109484054,1.08039442407594,7.64562265017955,1.5202035925323
8,20120102 9:00,0.21900473045904,3.97864573958657,1.28592621188859,6.30389524771875,2.04966583916715
8,20120102 10:00,0.189804083747482,3.45490935605047,1.52782782223599,6.15987971957817,2.79005642268182
8,20120102 11:00,0.102202209000614,2.67052088690003,1.46608370490956,5.24968086007099,3.04274214605052
8,20120102 12:00,0.0497627359862271,1.37212488344325,1.12818267926695,3.22621088554903,2.82057143588524
8,20120102 13:00,0.0133836197529937,0.696780599409851,1.13156591857251,1.42549874232366,2.27879611374725
8,20120102 14:00,0.0834651151913006,0.0826469917804373,1.19331003589894,0.585753522482363,2.14549368764808
8,20120102 15:00,0.0375958089380511,-0.579725493279934,1.02499388044743,-0.177321560075456,1.9634743106452
8,20120102 16:00,0,-1.18169803937213,0.32973820315526,-1.19734521082654,1.31677017117613
8,20120102 17:00,0,-1.24250334705821,0.348346019335829,-1.82521147020201,1.04320575456298
8,20120102 18:00,0,-1.13913432399187,-0.0559510776783526,-2.28730445977539,0.495006219119003
8,20120102 19:00,0,-1.08846323425347,0.347077304596245,-2.37692563376215,0.185037927105271
8,20120102 20:00,0.00106082997091071,-1.37951797371085,-0.166329260022183,-3.39280495276818,-0.20469768012443
8,20120102 21:00,0.0238205816140736,-0.158952764092256,-0.875117894536585,-1.12067507354306,-1.30216745323004
8,20120102 22:00,0.0902786117750274,-0.590265079945521,-0.991416745665141,-0.863726505349801,-1.68762025158909
8,20120102 23:00,0.0496410928708679,0.211959612792836,-1.35680659066541,0.189451799361703,-1.83377110430023
8,20120103 0:00,0.0182465980795078,1.70736481315251,-1.81016065761018,2.06631603840242,-2.56452536785591
8,20120103 1:00,0.189804127339352,4.25974241172629,-0.951819571265897,5.50636256708684,-1.54639174435301
8,20120103 2:00,0.274120940501586,5.2333272661361,-0.290442963560969,6.82269949874679,-0.774023397841305
8,20120103 3:00,0.201606016061774,5.4523063436606,-0.0235255652227968,7.17729687154836,-0.367341126217307
8,20120103 4:00,0.100742208269143,5.12248121981396,-0.451294663380524,6.72487953383601,-0.950580351785595
8,20120103 5:00,0.132132888771811,5.12170607263689,-0.595053130794186,6.73052299335009,-1.15829441524946
8,20120103 6:00,0.196617602127144,4.73607035204064,-0.737496734176626,6.23154711464656,-1.34742353619288
8,20120103 7:00,0.222289792043673,4.39888133001177,-0.876434033475805,5.82286658816835,-1.52671356991959
8,20120103 8:00,0.201240977736019,4.15548511640932,-0.897033569964958,5.5980687841907,-1.56497668687346
8,20120103 9:00,0.170093670647811,4.23338740770564,-0.609954923148041,6.19721606926922,-1.14626886420682
8,20120103 10:00,0.216328015226815,3.70202401781876,-0.646771116022272,6.38439080981965,-1.29330855650098
8,20120103 11:00,0.316340168640384,4.83567676429515,0.0444090763903668,7.91235747325772,0.162329735615561
8,20120103 12:00,0.26463075048157,5.12713210287643,1.32552493081151,8.39722470317605,2.35589956898532
8,20120103 13:00,0.369753069924805,4.80893418668596,1.7221755802303,7.5046175233652,2.87245164786258
